base,pyr+mal,adp1,adp2,adp3,adpmax,cytoc,succ,rot,antia
,,,,,,,,,
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
01:24:35,01:30:30,01:41:11,01:49:57,01:56:33,02:04:55,02:11:08,02:18:05,02:24:33,02:29:02
01:27:04,01:32:38,01:43:09,01:51:58,01:58:25,02:07:39,02:13:07,02:20:53,02:26:20,02:30:44
75,65,59,61,56,82,60,84,54,52
152.84131988966095,142.39553325940355,124.52160804650107,110.17926741400242,97.72189276046893,73.6605121890102,57.69176992013094,40.16100108781907,24.046483860363324,19.970637299580908
35.60642350217497,35.44546835180418,26.750895717353174,28.884487245525808,38.074627063108906,52.27691026324098,48.72000107434047,53.592076044635256,46.003577221818745,-3.7957217143341873
39.402145216509155,39.241190066138365,30.546617431687366,32.680208959859996,41.87034877744309,56.07263197757516,52.51572278867466,57.38779775896944,49.79929893615293,0.0
