BASE,PYR+MAL,ADP1,ADP2,ADP3,ADPMAX,CYTOC,SUCC,ROT,ANTIA
,,,,,,,,,
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
02:13:01,02:19:18,02:25:15,02:31:31,02:36:54,02:45:22,02:50:48,02:56:04,02:59:44,03:04:42
02:15:28,02:21:10,02:27:24,02:33:38,02:38:51,02:47:45,02:52:45,02:57:48,03:01:09,03:07:02
74,57,65,64,59,72,59,53,43,71
175.89817344850283,174.06523709634232,170.84014194337414,166.45898764829326,161.1535097356229,143.4176684613838,131.37440380085474,118.94709533320632,110.13678126715469,108.04025121101678
6.7949691873128435,8.326612430303971,10.689426724169948,13.055106772182441,21.71336883593694,43.716485885767185,40.1477008379979,51.86233063843723,39.11697095015787,0.2792472719130856
6.515721915399758,8.047365158390885,10.410179452256862,12.775859500269354,21.434121564023854,43.4372386138541,39.86845356608482,51.58308336652414,38.837723678244785,0.0
