base,pyr+mal,adp1,adp2,adp3,adpmax,cytoc,succ,rot,antia
,,,,,,,,,
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
01:23:50,01:29:48,01:42:05,01:48:07,01:54:32,02:04:12,02:09:51,02:16:53,02:22:32,02:27:17
01:26:24,01:31:43,01:44:13,01:50:26,01:56:39,02:06:33,02:11:39,02:19:24,02:25:07,02:29:04
78,58,64,70,64,71,54,76,78,54
191.31018404871637,185.5980425642827,171.3777959515463,164.6042723959253,156.36238707048625,137.06429278933462,126.08108663670619,107.53400322800096,93.07507679200741,88.7110828806964
19.386020621831037,22.484381098864887,17.097973133610196,18.951010490995458,25.90077712168309,37.2148132357113,36.488381583872936,52.34509136432808,38.41025043679099,-1.158673760064219
20.544694381895255,23.643054858929105,18.256646893674414,20.109684251059676,27.05945088174731,38.373486995775515,37.647055343937154,53.503765124392295,39.56892419685521,0.0
