base,pyr+mal,adp1,adp2,adp3,adpmax,cytoc,succ,rot,antia
,,,,,,,,,
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
01:23:36,01:29:31,01:40:11,01:47:49,01:53:57,02:03:44,02:09:43,02:17:34,02:22:52,02:27:45
01:26:33,01:31:39,01:42:38,01:50:08,01:56:44,02:06:34,02:11:32,02:19:54,02:24:58,02:29:31
89,64,74,70,84,86,55,71,64,53
172.76130184017256,166.29081749033645,154.1638368023887,147.60285931629338,141.68793979304354,130.33847973355157,124.04087779328526,118.27813080762549,113.39600359571185,111.90669367160541
21.654393508702352,22.44759055913656,15.297223867893951,15.435434684547221,18.683821774537243,22.791649968718865,21.35377178435338,17.81460349569214,17.53824521341088,1.1991504101480366
20.455243098554316,21.248440148988525,14.098073457745915,14.236284274399184,17.484671364389207,21.59249955857083,20.154621374205345,16.615453085544104,16.339094803262846,0.0
