2026-01-15_P1_02_A_VECTOR_B_ATF3_NONAPYR.dld8																			
drb	P1	1A	O2 calibration	POS #	A0338-O2	Marks from	Median	Unit	base	pyr+mal	adp1	adp2	adp3	adpmax	cytoc	succ	rot	antia	
Protocol			Temp	37	°C		State												
Sample type			Air saturation	205.75443770054406	µM		Concentration		0	0	0	0	0	0	0	0	0	0	
Cohort			R1	1.98544	V		Volume		0	0	0	0	0	0	0	0	0	0	
Sample code			R0	0.017474999999999997	V		Start		01:24:44	01:30:32	01:41:10	01:48:31	01:56:11	02:04:54	02:10:56	02:18:01	02:24:40	02:28:57	
Sample number	0		pb	99.3	kPa		Stop		01:27:13	01:32:42	01:43:41	01:51:14	01:58:20	02:07:30	02:12:55	02:20:46	02:26:43	02:30:49	
Subsample number	0		FM	1			N Points		75	66	76	82	65	79	60	83	62	56	
Sample concentration	0	/mL	Medium				1A: O2 concentration	µM	151.54428866449305	142.8105474885499	128.16021550460266	116.75517383131893	102.01806378816258	75.74104014837337	58.42149870465684	42.33776046558084	28.34349151963017	25.507521813549396	
Sample amount	0		O2 background a°	-2	pmol/(s*mL)		1A: O2 slope neg.	pmol·s-1·mL-1	30.754239123875372	28.69358142535353	24.4916698686367	29.63199828662087	39.74153233635527	56.861559176005855	56.2148528445903	44.81533888601194	38.71396195011896	-0.9976073478664728	
Chamber volume	2	mL	O2 background b°	0.025															
