"sample","chamber","conductance","intercept","n_steps"
"20251021_P1_02_Plantaris_A_1.8_B_1.7","A",2.6751358730678,224.083475818449,5
"20251021_P1_02_Plantaris_A_1.8_B_1.7","B",4.20281764336547,326.529019894492,5
"20251022_P1_02_Plantaris_A_1.4_B_1.0","A",8.63225232901171,632.12409404362,5
"20251022_P1_02_Plantaris_A_1.4_B_1.0","B",11.0187825293539,800.809753273063,5
"20251027_P1_02_Plantaris_A_1.8_B_3.2","A",3.36112682230738,287.306368625527,5
"20251027_P1_02_Plantaris_A_1.8_B_3.2","B",1.94834347262742,177.676997298131,5
"20251029_P1_03_Plantaris_A_0.6_B_0.8","A",25.440808426232,1780.60994787662,5
"20251029_P1_03_Plantaris_A_0.6_B_0.8","B",19.7511219957701,1412.4831941253,5
