"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [µM]","1B: O2 concentration [µM]","1A: O2 slope neg. [pmol·s-1·mL-1]","1B: O2 slope neg. [pmol·s-1·mL-1]","1: Temperature [°C]","1: Peltier power [%]"
69.4667,"","","",596.228,610.784,99.3977,101.616,36.999,10.586
69.5000,"","","",596.165,610.606,99.01,101.722,36.999,10.625
69.5333,"","","",596.083,610.14,98.4496,102.295,37,10.621
69.5667,"","","",595.924,609.918,97.732,102.792,36.999,10.642
69.6000,"","","",595.506,609.789,97.5684,103.035,36.998,10.673
69.6333,"","","",595.111,609.767,97.607,103.153,36.999,10.685
69.6667,"","","",594.837,609.649,97.497,102.898,36.999,10.69
69.7000,"","","",594.748,609.359,97.4702,103.001,36.999,10.707
69.7333,"","","",594.645,609.121,97.3054,103.062,37.002,10.668
69.7667,"","","",594.285,608.797,97.1633,103.221,37.001,10.66
69.8000,"","","",594.148,608.766,96.9597,102.618,37.001,10.643
69.8333,"","","",593.779,608.56,97.0072,102.37,37,10.642
69.8667,"","","",593.49,608.395,97.0923,101.986,36.999,10.671
69.9000,"","","",593.582,608.431,96.7153,101.114,37.002,10.618
69.9333,"","","",593.506,609.008,95.9781,98.5968,37.002,10.6
69.9667,"CK+PCR+ATP","Both","",591.526,605.675,98.702,102.37,37.002,10.589
70.0000,"","","",589.376,602.987,104.984,110.555,37,10.627
70.0333,"","","",587.403,601.307,114.278,120.837,37,10.603
70.0667,"","","",586.22,600.269,124.729,132.073,37.001,10.601
70.1000,"","","",585.255,599.642,136.172,143.525,36.999,10.617
70.1333,"","","",584.439,598.917,148.475,155.37,36.999,10.648
70.1667,"","","",583.947,598.507,160.69,166.847,36.999,10.641
70.2000,"","","",583.468,598.051,172.473,178.179,37,10.648
70.2333,"","","",582.781,597.653,183.874,188.972,37,10.634
70.2667,"","","",582.221,597.282,194.76,199.352,37,10.632
70.3000,"","","",581.775,596.68,205.334,209.479,37.001,10.613
70.3333,"","","",581.179,596.179,216.148,219.637,37.001,10.593
70.3667,"","","",580.65,595.757,226.811,228.955,37,10.616
70.4000,"","","",579.928,595.257,237.701,237.845,36.999,10.623
70.4333,"","","",579.358,594.855,248.296,246.198,37,10.634
70.4667,"","","",578.864,594.49,258.5,253.909,37.001,10.616
70.5000,"","","",578.271,593.96,268.43,261.639,37.001,10.597
70.5333,"","","",577.683,593.564,277.948,268.902,37.002,10.569
70.5667,"","","",577.248,593.061,286.89,275.653,37,10.582
70.6000,"","","",576.763,592.612,295.171,281.829,36.999,10.605
70.6333,"","","",576.062,592.185,302.857,287.286,37,10.612
70.6667,"","","",575.573,591.661,309.89,292.252,37,10.622
70.7000,"","","",575.205,591.184,316.093,296.229,37,10.6
70.7333,"","","",574.546,590.63,321.832,299.792,37,10.618
70.7667,"","","",574.078,590.19,326.429,302.694,37,10.632
70.8000,"","","",573.433,589.853,330.298,304.612,36.997,10.681
70.8333,"","","",572.96,589.454,333.013,305.638,36.997,10.695
70.8667,"","","",572.648,589.008,334.281,306.391,36.997,10.705
70.9000,"","","",572.228,588.511,334.426,306.497,36.999,10.682
70.9333,"","","",571.597,588.098,334.306,305.601,37.001,10.658
70.9667,"","","",570.988,587.623,333.817,303.58,37.002,10.626
71.0000,"","","",570.374,586.979,332.714,300.887,36.999,10.67
71.0333,"","","",569.756,586.588,330.616,297.341,37,10.65
71.0667,"","","",569.262,586.216,327.278,292.796,37,10.662
71.1000,"","","",568.732,585.828,323.219,287.437,37.002,10.607
71.1333,"","","",568.262,585.306,317.887,280.935,37.002,10.615
71.1667,"","","",567.811,584.912,311.661,273.35,37.001,10.62
71.2000,"","","",567.444,584.383,304.226,264.833,36.999,10.636
71.2333,"","","",566.908,583.764,295.153,255.127,37,10.632
71.2667,"","","",566.335,583.36,284.769,242.734,36.999,10.65
71.3000,"","","",565.903,582.983,276.435,235.035,37.001,10.625
71.3333,"","","",565.403,582.43,270.748,231.389,37,10.629
71.3667,"","","",564.994,581.823,267.353,230.155,37.001,10.605
71.4000,"","","",564.488,581.381,265.056,229.898,36.999,10.643
71.4333,"","","",564.029,580.99,263.417,229.79,36.998,10.683
71.4667,"","","",563.644,580.566,262.059,230.102,37,10.65
71.5000,"","","",563.195,579.877,260.519,230.741,37.001,10.632
71.5333,"","","",562.726,579.403,258.811,231.377,37.003,10.587
71.5667,"","","",562.377,578.952,257.118,231.855,37.002,10.588
71.6000,"","","",561.979,578.488,255.316,232.141,37,10.585
71.6333,"","","",561.623,577.888,253.124,232.916,37.001,10.554
71.6667,"","","",561.174,577.415,251.009,233.758,37.001,10.523
71.7000,"","","",560.776,577.015,248.762,234.385,37.001,10.524
71.7333,"","","",560.163,576.552,247.161,235.062,36.999,10.554
71.7667,"","","",559.581,575.949,245.864,235.859,36.999,10.59
71.8000,"","","",559.116,575.543,244.514,236.329,36.998,10.615
71.8333,"","","",558.734,574.995,243.15,237.042,36.999,10.619
71.8667,"","","",558.3,574.502,241.879,237.638,36.998,10.65
