"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [µM]","1B: O2 concentration [µM]","1A: O2 slope neg. [pmol·s-1·mL-1]","1B: O2 slope neg. [pmol·s-1·mL-1]","1: Temperature [°C]","1: Peltier power [%]"
102.5000,"","","",458.227,444.54,130.503,150.619,37.002,11.467
102.5333,"","","",457.93,444.227,130.22,150.946,37.001,11.477
102.5667,"","","",457.723,443.967,129.835,151.016,37.001,11.459
102.6000,"","","",457.409,443.71,129.534,150.875,37.001,11.416
102.6333,"","","",457.171,443.443,129.106,150.682,37.003,11.399
102.6667,"","","",456.861,443.216,128.485,150.467,37.002,11.382
102.7000,"","","",456.745,442.92,127.604,150.15,37.001,11.386
102.7333,"","","",456.621,442.626,126.539,149.727,37,11.369
102.7667,"","","",456.45,442.346,125.441,149.211,37,11.37
102.8000,"","","",456.205,442.007,124.766,148.866,37.001,11.343
102.8333,"","","",455.992,441.727,124.021,148.593,37,11.362
102.8667,"","","",455.744,441.398,123.1,148.49,36.999,11.388
102.9000,"","","",455.601,441.06,122.037,148.365,37,11.364
102.9333,"","","",455.471,440.787,121.079,148.104,37.001,11.358
102.9667,"","","",455.158,440.486,120.34,147.92,37,11.369
103.0000,"","","",454.781,440.184,119.776,147.839,37.001,11.343
103.0333,"","","",454.622,439.851,119.203,147.796,36.999,11.397
103.0667,"","","",454.359,439.539,118.843,147.704,36.999,11.393
103.1000,"","","",454.111,439.229,118.676,147.605,37,11.387
103.1333,"","","",453.755,438.865,118.731,147.864,37.001,11.352
103.1667,"","","",453.413,438.579,119.1,148.184,37.002,11.339
103.2000,"","","",453.088,438.196,119.515,148.718,37.001,11.313
103.2333,"","","",452.797,437.887,119.838,149.211,37.002,11.289
103.2667,"","","",452.615,437.668,120.305,149.374,37.001,11.288
103.3000,"","","",452.46,437.441,120.798,149.183,37.001,11.282
103.3333,"","","",452.224,437.115,121.257,149.173,36.997,11.353
103.3667,"","","",451.876,436.77,121.904,149.346,36.997,11.368
103.4000,"","","",451.662,436.477,122.408,149.447,36.997,11.39
103.4333,"","","",451.477,436.179,122.669,149.426,36.997,11.394
103.4667,"","","",451.296,435.921,122.922,149.349,36.997,11.426
103.5000,"","","",450.948,435.624,123.36,149.278,36.997,11.433
103.5333,"","","",450.619,435.34,123.657,149.232,37,11.408
103.5667,"","","",450.338,435.022,123.876,149.327,37,11.415
103.6000,"","","",450.114,434.793,123.972,149.263,37,11.431
103.6333,"","","",449.824,434.459,123.903,149.367,37,11.414
103.6667,"","","",449.523,434.172,124.014,149.563,37,11.431
103.7000,"","","",449.318,433.922,124.09,149.572,36.999,11.451
103.7333,"","","",449.165,433.663,123.825,149.502,37.001,11.408
103.7667,"","","",448.906,433.319,123.782,149.591,37.001,11.395
103.8000,"PCR3","Both","",448.776,433.11,123.677,149.518,37,11.425
103.8333,"","","",448.778,432.862,123.353,149.321,37,11.418
103.8667,"","","",448.479,432.553,123.26,149.196,37.001,11.389
103.9000,"","","",448.008,432.141,123.543,149.23,37.001,11.373
103.9333,"","","",447.729,432.006,124.028,148.897,37.001,11.345
103.9667,"","","",447.436,431.165,124.598,149.516,37,11.348
104.0000,"","","",447.16,430.612,125.355,150.431,37.001,11.324
104.0333,"","","",446.908,430.11,125.887,151.653,37,11.336
104.0667,"","","",446.626,429.701,126.251,152.985,36.999,11.36
104.1000,"","","",446.31,429.418,126.583,154.161,37,11.336
104.1333,"","","",446.076,429.206,126.863,155.164,36.999,11.376
104.1667,"","","",445.891,428.902,126.94,156.062,36.998,11.395
104.2000,"","","",445.696,428.593,126.904,156.955,36.999,11.397
104.2333,"","","",445.456,428.359,126.64,157.725,37.001,11.37
104.2667,"","","",445.25,428.138,126.051,158.232,37,11.385
104.3000,"","","",444.982,427.901,125.597,158.564,37,11.368
104.3333,"","","",444.694,427.599,125.438,158.849,36.999,11.395
104.3667,"","","",444.337,427.285,125.291,159.169,36.999,11.416
104.4000,"","","",444.061,427.033,125.19,159.37,36.999,11.437
104.4333,"","","",443.766,426.712,125.14,159.583,37,11.446
104.4667,"","","",443.388,426.392,125.496,159.905,37.001,11.415
104.5000,"","","",443.124,426.098,126.02,160.146,37.001,11.395
104.5333,"","","",442.946,425.931,126.529,160.258,37.002,11.351
104.5667,"","","",442.656,425.768,127.176,160.111,37.002,11.357
104.6000,"","","",442.289,425.516,127.895,159.709,37.001,11.352
104.6333,"","","",442.076,425.183,128.333,159.215,37.002,11.296
104.6667,"","","",442.026,424.764,128.34,158.964,37.001,11.305
104.7000,"","","",441.889,424.407,128.311,158.871,36.999,11.333
104.7333,"","","",441.682,424.097,128.136,158.748,37,11.346
104.7667,"","","",441.435,423.792,127.831,158.595,36.999,11.379
104.8000,"","","",441.22,423.561,127.327,158.198,36.999,11.387
104.8333,"","","",440.943,423.308,127.053,157.675,37,11.389
104.8667,"","","",440.823,423.046,126.694,157.024,37.002,11.354
104.9000,"","","",440.694,422.719,126.191,156.427,37.002,11.34
104.9333,"","","",440.497,422.408,125.575,155.687,37,11.349
104.9667,"","","",440.244,422.138,125.077,154.919,36.999,11.358
105.0000,"","","",439.965,421.952,124.769,153.89,37.002,11.313
105.0333,"","","",439.648,421.699,124.539,152.657,37.001,11.319
105.0667,"","","",439.382,421.396,124.183,151.33,37.002,11.275
105.1000,"","","",439.017,421.161,124.076,149.944,37.001,11.286
105.1333,"","","",438.759,420.851,123.762,148.385,37,11.297
105.1667,"","","",438.482,420.583,123.012,146.645,36.999,11.314
105.2000,"","","",438.314,420.236,122.178,144.98,37.001,11.274
105.2333,"","","",438.197,419.966,121.51,143.447,37,11.283
105.2667,"","","",438.054,419.689,120.72,141.539,36.999,11.314
105.3000,"","","",437.847,419.511,119.965,140.418,37,11.308
105.3333,"","","",437.604,419.173,119.285,139.885,36.998,11.344
105.3667,"","","",437.405,418.816,118.557,139.898,36.999,11.37
105.4000,"","","",437.216,418.657,117.827,139.928,36.999,11.378
105.4333,"","","",436.973,418.374,117.264,139.983,36.999,11.393
105.4667,"","","",436.704,418.026,116.768,140.047,36.999,11.398
105.5000,"","","",436.439,417.759,116.234,140.134,37.001,11.356
105.5333,"","","",436.2,417.547,115.626,140.161,37.003,11.318
105.5667,"","","",435.972,417.221,115.006,140.196,37.002,11.327
105.6000,"","","",435.76,416.902,114.279,140.196,37.001,11.319
105.6333,"","","",435.441,416.618,113.762,140.117,37.001,11.293
105.6667,"","","",435.191,416.297,113.361,140.147,37.001,11.274
105.7000,"","","",434.966,416.072,113.166,140.132,37,11.303
105.7333,"","","",434.757,415.882,113.005,139.898,36.999,11.332
105.7667,"","","",434.571,415.586,112.879,139.777,37,11.335
105.8000,"","","",434.323,415.356,113.072,139.648,36.998,11.365
105.8333,"","","",434.079,415.044,113.368,139.621,36.999,11.364
105.8667,"","","",433.844,414.755,113.586,139.405,37,11.368
105.9000,"","","",433.55,414.419,114.048,139.068,37.001,11.345
105.9333,"","","",433.415,414.109,114.606,138.718,36.999,11.381
105.9667,"","","",433.149,413.81,115.229,138.486,37.001,11.333
106.0000,"","","",432.914,413.529,115.54,138.508,37.003,11.308
106.0333,"","","",432.784,413.262,115.496,138.652,37.001,11.3
106.0667,"","","",432.648,413.016,115.248,138.795,37,11.311
106.1000,"","","",432.446,412.703,114.996,139.059,37,11.295
106.1333,"","","",432.264,412.405,114.646,139.272,37,11.3
106.1667,"","","",432.031,412.261,114.415,139.187,37.001,11.255
106.2000,"","","",431.775,411.996,114.048,139.055,37.001,11.253
106.2333,"","","",431.421,411.619,113.728,139.203,37,11.274
106.2667,"","","",431.184,411.285,113.35,139.521,36.997,11.326
106.3000,"","","",431.112,410.999,112.716,139.837,36.998,11.323
106.3333,"","","",431.02,410.74,111.931,139.941,36.999,11.35
106.3667,"","","",430.693,410.442,111.515,140.025,36.999,11.366
106.4000,"","","",430.397,410.218,111.313,140.043,36.998,11.383
106.4333,"","","",430.173,409.92,111.377,140.01,36.999,11.386
106.4667,"","","",429.944,409.639,111.527,140.033,37,11.399
106.5000,"","","",429.623,409.328,111.972,140.088,37,11.41
106.5333,"","","",429.466,409.025,112.196,140.309,37.002,11.352
106.5667,"","","",429.311,408.763,112.097,140.478,37.003,11.328
106.6000,"","","",429.058,408.523,111.901,140.568,37.001,11.358
106.6333,"","","",428.728,408.288,111.865,140.382,37,11.362
106.6667,"","","",428.486,407.941,111.882,140.429,37.001,11.33
106.7000,"","","",428.169,407.683,112.006,140.581,37.001,11.324
106.7333,"","","",427.842,407.454,112.226,140.413,37,11.334
106.7667,"","","",427.616,407.157,112.446,140.28,36.999,11.365
106.8000,"","","",427.573,406.89,112.386,140.254,36.999,11.366
106.8333,"","","",427.388,406.529,112.318,140.354,37.001,11.318
106.8667,"","","",427.031,406.263,112.514,140.298,37.001,11.316
106.9000,"","","",426.759,406.006,112.785,140.278,37.001,11.31
106.9333,"","","",426.528,405.733,113.02,140.319,37.001,11.281
106.9667,"","","",426.363,405.468,113.307,140.345,37,11.283
107.0000,"","","",426.142,405.16,113.627,140.505,36.998,11.327
107.0333,"","","",425.967,404.974,113.85,140.393,36.999,11.321
107.0667,"","","",425.868,404.731,113.813,140.051,36.999,11.344
107.1000,"","","",425.66,404.562,113.68,139.54,37.001,11.305
107.1333,"","","",425.451,404.297,113.571,138.922,37,11.32
107.1667,"","","",425.156,403.971,113.638,138.463,37.001,11.302
107.2000,"","","",424.864,403.66,113.854,138.091,36.999,11.325
107.2333,"","","",424.547,403.393,114.373,137.811,37.001,11.304
107.2667,"","","",424.321,403.181,114.72,137.481,37.001,11.279
107.3000,"","","",424.135,402.912,115.065,137.193,37,11.281
107.3333,"","","",424.045,402.694,115.182,136.822,37,11.287
107.3667,"","","",423.822,402.402,115.123,136.482,36.998,11.337
107.4000,"","","",423.472,402.112,115.127,136.127,36.997,11.357
107.4333,"","","",423.158,401.86,115.233,135.813,36.998,11.362
107.4667,"","","",422.86,401.615,115.363,135.504,36.999,11.372
107.5000,"","","",422.592,401.33,115.549,134.978,37,11.352
107.5333,"","","",422.406,401.015,115.682,134.513,37,11.361
107.5667,"","","",422.135,400.743,116.113,134.242,37.002,11.306
107.6000,"","","",421.973,400.5,116.424,134.036,37.001,11.327
107.6333,"","","",421.77,400.225,116.382,133.874,36.999,11.363
107.6667,"","","",421.609,399.944,115.934,133.711,36.999,11.376
107.7000,"","","",421.425,399.726,115.569,133.508,36.998,11.405
107.7333,"","","",421.14,399.337,115.425,133.442,36.998,11.412
107.7667,"","","",420.777,399.075,115.508,133.407,37.001,11.378
107.8000,"","","",420.471,398.759,115.708,133.474,37.001,11.352
107.8333,"","","",420.318,398.51,115.918,133.572,37.001,11.348
107.8667,"","","",420.1,398.336,115.956,133.557,37.001,11.339
107.9000,"","","",419.894,398.127,115.791,133.426,36.999,11.36
107.9333,"","","",419.826,397.863,115.351,133.243,36.999,11.377
107.9667,"","","",419.561,397.529,115.165,133.122,36.999,11.388
108.0000,"","","",419.289,397.334,115.082,133.017,37,11.393
108.0333,"","","",419.124,397.048,115.048,132.935,37.002,11.338
108.0667,"","","",418.97,396.823,115.076,132.706,37.001,11.35
108.1000,"","","",418.845,396.532,114.934,132.584,36.999,11.367
108.1333,"","","",418.782,396.163,114.169,132.655,37,11.368
108.1667,"","","",418.614,395.923,113.242,132.852,37,11.37
108.2000,"","","",418.006,395.63,113.291,133.101,37,11.366
108.2333,"","","",417.276,395.635,114.351,132.838,37.002,11.318
108.2667,"","","",416.707,394.898,116.006,133.475,37.001,11.332
108.3000,"PCR4","Both","",416.335,394.08,117.738,135.103,37,11.335
108.3333,"","","",415.956,393.461,119.648,137.386,36.999,11.368
108.3667,"","","",415.583,393.01,121.621,139.755,36.998,11.404
108.4000,"","","",415.255,392.682,123.412,142.068,36.998,11.419
108.4333,"","","",414.924,392.358,125.21,144.168,37,11.41
108.4667,"","","",414.683,392.152,126.845,146.012,36.999,11.429
108.5000,"","","",414.354,391.914,128.64,147.777,37,11.434
108.5333,"","","",414.093,391.657,130.46,149.481,37.002,11.383
108.5667,"","","",413.842,391.381,132.34,151.075,37.001,11.381
108.6000,"","","",413.665,391.183,133.972,152.314,37.001,11.36
108.6333,"","","",413.44,390.958,135.374,153.355,37,11.381
108.6667,"","","",413.324,390.675,136.157,154.211,36.998,11.432
108.7000,"","","",413.14,390.498,136.7,154.824,36.997,11.453
108.7333,"","","",412.968,390.374,137.228,155.107,36.997,11.472
