"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [µM]","1B: O2 concentration [µM]","1A: O2 slope neg. [pmol·s-1·mL-1]","1B: O2 slope neg. [pmol·s-1·mL-1]","1: Temperature [°C]","1: Peltier power [%]"
94.7000,"","","",523.148,518.412,136.581,156.917,37,11.458
94.7333,"","","",522.792,518.214,136.515,156.858,37.001,11.437
94.7667,"","","",522.461,517.968,136.776,156.609,37.001,11.429
94.8000,"","","",522.166,517.553,137.031,156.387,37,11.447
94.8333,"","","",521.749,517.114,137.524,156.374,36.999,11.464
94.8667,"","","",521.462,516.748,138.2,156.501,37,11.471
94.9000,"","","",521.241,516.45,138.852,156.546,36.999,11.5
94.9333,"","","",521.115,515.975,139.167,156.917,36.999,11.499
94.9667,"","","",520.997,515.6,139.144,157.69,37.001,11.477
95.0000,"","","",520.805,515.385,138.739,158.157,37.002,11.45
95.0333,"","","",520.621,515.223,138.023,158.187,37.002,11.44
95.0667,"","","",520.282,514.878,137.327,158.337,37,11.453
95.1000,"","","",519.943,514.671,136.673,158.354,37.002,11.413
95.1333,"","","",519.558,514.346,136.347,158.373,37.002,11.399
95.1667,"","","",519.312,513.997,136.067,158.38,37.001,11.386
95.2000,"","","",519.057,513.634,135.968,158.196,37.001,11.397
95.2333,"","","",518.755,513.284,136.126,158.186,37.001,11.363
95.2667,"","","",518.587,512.938,135.965,158.319,37.001,11.35
95.3000,"","","",518.311,512.655,136.033,158.404,37,11.354
95.3333,"","","",518.045,512.324,136.296,158.359,36.999,11.373
95.3667,"","","",517.67,511.935,136.529,158.399,36.998,11.41
95.4000,"","","",517.358,511.548,136.474,158.708,36.999,11.414
95.4333,"","","",517.051,511.182,136.548,158.994,37.001,11.377
95.4667,"","","",516.683,510.87,136.728,159.193,36.999,11.41
95.5000,"","","",516.297,510.629,136.963,159.334,37,11.383
95.5333,"","","",516.06,510.346,137.211,159.601,37,11.402
95.5667,"PCR1","Both","",515.998,510.037,137.048,159.857,37,11.387
95.6000,"","","",515.764,509.75,136.656,159.909,37.001,11.369
95.6333,"","","",515.348,509.461,136.62,160.199,37,11.358
95.6667,"","","",514.958,509.283,136.774,160.384,36.998,11.407
95.7000,"","","",514.74,508.637,137.158,160.837,36.998,11.422
95.7333,"","","",514.385,508.287,137.697,161.178,36.997,11.449
95.7667,"","","",514.01,507.908,138.509,161.554,36.998,11.446
95.8000,"","","",513.602,507.664,139.393,161.852,36.998,11.471
95.8333,"","","",513.211,507.292,140.229,162.032,37.001,11.434
95.8667,"","","",512.922,507.01,140.938,162.326,37.001,11.417
95.9000,"","","",512.553,506.703,141.771,162.574,37.001,11.386
95.9333,"","","",512.286,506.366,142.798,162.686,37.001,11.373
95.9667,"","","",512.152,506.094,143.442,162.773,36.997,11.468
96.0000,"","","",511.936,505.807,143.854,162.843,36.997,11.478
96.0333,"","","",511.648,505.51,144.204,162.776,36.998,11.48
96.0667,"","","",511.463,505.038,144.498,162.743,36.998,11.501
96.1000,"","","",511.241,504.702,144.771,162.562,36.997,11.522
96.1333,"","","",510.912,504.42,145.161,162.45,36.998,11.543
96.1667,"","","",510.629,504.145,145.816,162.454,36.998,11.545
96.2000,"","","",510.326,503.839,146.531,162.505,36.998,11.567
96.2333,"","","",509.992,503.546,147.239,162.453,37.001,11.523
96.2667,"","","",509.658,503.158,147.745,162.813,37.001,11.513
96.3000,"","","",509.341,502.805,147.983,163.337,37.001,11.487
96.3333,"","","",509.088,502.478,147.961,163.675,37.002,11.44
96.3667,"","","",508.84,502.112,147.646,163.782,37.003,11.425
96.4000,"","","",508.527,501.824,147.449,163.849,37.001,11.434
96.4333,"","","",508.262,501.575,147.286,163.546,37.002,11.415
96.4667,"","","",507.97,501.333,147.303,163.081,37.001,11.391
96.5000,"","","",507.684,501.075,147.23,162.539,37.001,11.386
96.5333,"","","",507.48,500.798,146.929,161.989,37,11.395
96.5667,"","","",507.312,500.457,146.43,161.533,37.001,11.364
96.6000,"","","",507.124,500.075,145.525,161.237,37,11.364
96.6333,"","","",506.879,499.603,144.522,161.142,37,11.357
96.6667,"","","",506.721,499.246,143.249,161.112,37.001,11.357
96.7000,"","","",506.396,498.974,142.229,161.102,37.001,11.341
96.7333,"","","",506.102,498.625,141.289,161.258,37,11.329
96.7667,"","","",505.685,498.305,140.646,161.493,37.001,11.32
96.8000,"","","",505.325,498.001,140.303,161.673,36.999,11.36
96.8333,"","","",505.054,497.764,140.133,161.544,36.998,11.416
96.8667,"","","",504.906,497.334,139.634,161.54,36.997,11.427
96.9000,"","","",504.833,497.085,138.342,161.364,36.998,11.411
96.9333,"","","",504.565,496.702,136.943,161.227,36.999,11.432
96.9667,"","","",504.245,496.485,135.877,160.818,37,11.425
97.0000,"","","",503.941,496.262,135.078,159.942,37.001,11.419
97.0333,"","","",503.654,495.988,134.189,159.587,36.999,11.463
97.0667,"","","",503.378,495.579,133.448,159.467,37,11.443
97.1000,"","","",503.064,495.187,132.969,159.601,37,11.435
97.1333,"","","",502.752,494.835,132.82,159.654,37.001,11.414
97.1667,"","","",502.4,494.53,133.049,159.778,37,11.423
97.2000,"","","",502.219,494.17,133.15,159.904,36.999,11.441
97.2333,"","","",502.061,493.886,133.247,159.937,37,11.425
97.2667,"","","",501.689,493.566,133.553,160.001,37,11.422
97.3000,"","","",501.261,493.188,133.904,160.078,37,11.412
97.3333,"","","",501.042,492.755,134.05,160.29,36.999,11.455
97.3667,"","","",500.742,492.415,134.278,160.47,37,11.444
97.4000,"","","",500.35,492.361,134.554,160.428,37.001,11.406
97.4333,"","","",500.052,491.958,134.759,160.58,37.001,11.401
97.4667,"","","",499.788,491.783,135.031,160.399,37.001,11.394
97.5000,"","","",499.583,491.392,135.179,160.276,37.001,11.358
97.5333,"","","",499.187,491.115,135.596,160.052,37.001,11.347
97.5667,"","","",498.902,490.793,136.133,159.787,37.002,11.296
97.6000,"","","",498.631,490.375,136.768,159.836,37.003,11.284
97.6333,"","","",498.248,489.952,137.68,160.139,37.002,11.26
97.6667,"","","",498.106,489.675,138.297,160.372,37.002,11.245
97.7000,"","","",497.996,489.447,138.563,160.526,37.002,11.247
97.7333,"","","",497.677,489.116,138.995,160.648,37,11.276
97.7667,"","","",497.583,488.687,139.09,160.843,36.998,11.326
97.8000,"","","",497.412,488.488,139.06,160.658,36.997,11.336
97.8333,"","","",497.008,488.18,139.327,160.328,36.999,11.316
97.8667,"","","",496.656,487.88,139.629,159.869,37.001,11.285
97.9000,"","","",496.197,487.58,140.079,159.403,37,11.303
97.9333,"","","",495.84,487.227,140.501,159.11,37.001,11.269
97.9667,"","","",495.45,486.877,141.049,159.16,36.999,11.317
98.0000,"","","",495.13,486.595,141.413,159.218,37,11.328
98.0333,"","","",494.864,486.361,141.802,159.041,36.999,11.346
98.0667,"","","",494.702,486.07,141.97,158.884,36.999,11.375
98.1000,"","","",494.349,485.638,142.517,158.955,37.001,11.348
98.1333,"","","",494.109,485.234,143.131,159.161,37,11.375
98.1667,"","","",493.776,485.006,143.825,159.041,36.999,11.395
98.2000,"","","",493.477,484.677,144.291,159.156,36.998,11.422
98.2333,"","","",493.006,484.352,144.687,159.154,37,11.429
98.2667,"","","",492.692,484.018,145.063,159.306,37.001,11.389
98.3000,"","","",492.462,483.618,145.361,159.417,37.002,11.358
98.3333,"","","",492.123,483.284,145.76,159.361,37.002,11.353
98.3667,"","","",491.706,482.996,146.363,159.142,37.001,11.342
98.4000,"","","",491.491,482.617,146.77,159.184,37.002,11.304
98.4333,"","","",491.318,482.418,146.982,159.127,37.002,11.304
98.4667,"","","",491.104,482.104,147.083,159.125,37.001,11.289
98.5000,"","","",490.776,481.686,147.37,159.278,37,11.285
98.5333,"","","",490.543,481.337,147.341,159.557,37,11.304
98.5667,"","","",490.367,481.128,146.843,159.562,37.001,11.281
98.6000,"","","",490.342,480.82,146.008,159.548,36.999,11.315
98.6333,"","","",490.27,480.511,145.064,159.633,36.998,11.355
98.6667,"","","",489.983,480.207,144.034,159.915,36.998,11.389
98.7000,"","","",489.674,479.928,143.11,160.184,36.995,11.434
98.7333,"","","",489.248,479.443,142.68,160.274,36.997,11.431
98.7667,"","","",488.913,479.098,142.394,160.557,36.996,11.465
98.8000,"","","",488.63,478.817,142.089,160.485,36.998,11.462
98.8333,"","","",488.294,478.506,141.746,160.518,36.997,11.479
98.8667,"","","",487.952,478.131,141.73,160.56,36.998,11.485
98.9000,"","","",487.617,477.842,141.823,160.532,36.998,11.52
98.9333,"","","",487.275,477.561,142.005,160.607,36.998,11.522
98.9667,"","","",487.058,477.246,142.255,160.871,36.999,11.541
99.0000,"","","",486.739,476.903,142.311,161.103,37.001,11.506
99.0333,"","","",486.297,476.625,142.322,161.083,37.001,11.491
99.0667,"","","",485.908,476.259,142.559,161.164,37.001,11.477
99.1000,"","","",485.664,475.815,142.32,161.679,37,11.484
99.1333,"","","",485.415,475.376,141.746,162.172,36.999,11.515
99.1667,"","","",485.134,475.262,141.339,162.234,36.999,11.524
99.2000,"","","",485.035,475.05,140.673,162.049,37.001,11.502
99.2333,"","","",484.808,474.64,140.218,161.989,37,11.5
99.2667,"","","",484.436,474.411,140.062,161.812,37.001,11.472
99.3000,"","","",484.274,474.18,139.881,161.53,37,11.472
99.3333,"","","",483.962,473.957,139.837,161.005,37.001,11.428
99.3667,"","","",483.793,473.631,139.567,160.342,37,11.465
99.4000,"","","",483.589,473.222,138.942,159.792,37,11.464
99.4333,"","","",483.33,472.805,138.428,159.63,36.999,11.492
99.4667,"","","",482.799,472.436,138.313,159.718,37.001,11.456
99.5000,"","","",482.342,472.105,138.615,159.648,37,11.469
99.5333,"","","",481.957,471.756,139.121,159.638,36.999,11.487
99.5667,"","","",481.624,471.487,140.062,159.534,37,11.468
99.6000,"PCR2","Both","",481.241,471.193,141.241,159.402,37.003,11.408
99.6333,"","","",481.044,470.874,142.148,159.421,37.003,11.397
99.6667,"","","",480.876,470.729,142.942,159.152,37.002,11.4
99.7000,"","","",480.654,470.328,143.889,158.991,37.002,11.37
99.7333,"","","",480.4,469.99,144.678,158.99,37,11.397
99.7667,"","","",480.185,469.501,145.153,159.083,37,11.397
99.8000,"","","",479.89,469.103,145.534,159.296,37,11.418
99.8333,"","","",479.506,468.699,146.196,159.831,36.999,11.432
99.8667,"","","",479.202,468.365,146.804,160.428,37.001,11.396
99.9000,"LOn","Both","",478.95,468.117,147.149,160.667,37,11.41
99.9333,"","","",478.718,467.824,146.895,160.812,37,11.411
99.9667,"LOff","Both","",478.391,467.538,146.288,160.857,37,11.413
100.0000,"","","",478.175,467.277,145.512,160.746,37,11.437
100.0333,"","","",477.951,467.011,144.634,160.444,37,11.429
100.0667,"","","",477.517,466.728,144.27,160.382,36.999,11.464
100.1000,"","","",477.26,466.466,143.918,160.269,37,11.442
100.1333,"","","",477.133,466.184,143.25,160.026,37.001,11.416
100.1667,"","","",476.89,465.856,142.593,159.799,37.001,11.409
100.2000,"","","",476.708,465.548,141.859,159.669,37,11.406
100.2333,"","","",476.406,465.181,141.266,159.585,37.002,11.364
100.2667,"","","",476.061,464.896,140.911,159.376,37.002,11.353
100.3000,"","","",475.813,464.599,140.375,159.128,37.001,11.352
100.3333,"","","",475.517,464.277,139.939,158.942,37.001,11.345
100.3667,"","","",475.173,463.956,139.93,158.693,37.001,11.312
100.4000,"","","",474.92,463.671,140.087,158.48,37,11.334
100.4333,"","","",474.637,463.406,140.201,158.425,36.998,11.364
100.4667,"","","",474.408,463.073,140.177,158.661,36.998,11.386
100.5000,"","","",474.151,462.63,140.133,158.77,36.998,11.386
100.5333,"","","",474.027,462.302,139.474,158.703,37,11.353
100.5667,"","","",473.947,461.926,138.368,158.917,37.001,11.339
100.6000,"","","",473.615,461.684,137.564,158.821,37,11.345
100.6333,"","","",473.285,461.44,136.659,158.422,36.999,11.37
100.6667,"","","",472.82,461.191,136.174,157.711,37,11.378
100.7000,"","","",472.42,460.938,135.7,156.893,36.998,11.415
100.7333,"","","",472.158,460.548,135.031,156.383,36.999,11.422
100.7667,"","","",471.923,460.224,134.217,156.079,37,11.397
100.8000,"","","",471.542,459.835,134.053,156.017,37.001,11.381
100.8333,"","","",471.239,459.496,134.266,156.029,36.999,11.413
100.8667,"","","",470.918,459.272,134.764,155.939,37,11.387
100.9000,"","","",470.56,458.938,135.521,155.806,37.001,11.361
100.9333,"","","",470.359,458.716,136.345,155.468,37,11.358
100.9667,"","","",470.012,458.55,137.162,154.878,36.999,11.392
101.0000,"","","",469.783,458.32,137.686,153.83,36.998,11.433
101.0333,"","","",469.589,457.911,137.952,153.136,36.999,11.423
101.0667,"","","",469.41,457.529,137.996,152.626,37.002,11.377
101.1000,"","","",469.177,457.205,137.849,152.483,37.002,11.354
101.1333,"","","",468.944,456.879,137.662,152.546,37.001,11.356
101.1667,"","","",468.757,456.491,137.529,152.95,37.001,11.342
101.2000,"","","",468.485,456.132,137.47,153.507,36.998,11.41
101.2333,"","","",468.219,455.932,137.376,153.761,36.999,11.381
101.2667,"","","",467.963,455.702,137.19,153.854,37.001,11.368
101.3000,"","","",467.74,455.398,137.033,153.918,36.999,11.4
101.3333,"","","",467.62,455.043,136.511,153.994,37,11.408
101.3667,"","","",467.341,454.8,135.941,153.878,37.001,11.37
101.4000,"","","",467.037,454.555,135.766,153.608,37.001,11.37
101.4333,"","","",466.709,454.288,135.7,153.19,37,11.386
101.4667,"","","",466.222,453.939,135.782,152.808,37.002,11.34
101.5000,"","","",465.972,453.586,135.764,152.554,37.001,11.347
101.5333,"","","",465.812,453.232,135.364,152.39,37,11.366
101.5667,"","","",465.531,452.987,135.037,152.224,37.001,11.346
101.6000,"","","",465.116,452.736,135.112,151.923,37.001,11.321
101.6333,"","","",464.83,452.4,135.161,151.668,37,11.344
101.6667,"","","",464.625,452.052,135.124,151.521,36.999,11.36
101.7000,"","","",464.301,451.77,135.321,151.361,36.999,11.38
101.7333,"","","",463.968,451.511,135.59,151.081,36.999,11.381
101.7667,"","","",463.635,451.225,135.987,150.691,37.001,11.361
101.8000,"","","",463.393,450.8,136.234,150.578,37.001,11.355
101.8333,"","","",463.086,450.459,136.506,150.789,36.999,11.376
101.8667,"","","",462.898,450.132,136.32,151.087,36.998,11.423
101.9000,"","","",462.745,449.865,135.526,151.455,36.999,11.421
101.9333,"","","",462.359,449.661,135.025,151.532,37,11.404
101.9667,"","","",462.017,449.476,134.728,151.285,36.999,11.424
102.0000,"","","",461.792,449.105,134.679,151.077,37,11.412
102.0333,"","","",461.559,448.753,134.791,150.864,37.001,11.387
102.0667,"","","",461.365,448.484,134.743,150.748,37.001,11.37
102.1000,"","","",461.194,448.245,134.448,150.562,37,11.394
102.1333,"","","",460.896,447.931,134.424,150.573,36.998,11.449
102.1667,"","","",460.662,447.625,134.411,150.681,36.998,11.458
102.2000,"","","",460.575,447.297,134.182,150.705,36.996,11.501
102.2333,"","","",460.397,446.943,133.997,150.897,36.997,11.512
102.2667,"","","",460.183,446.661,133.636,150.905,36.999,11.494
102.3000,"","","",460.054,446.313,133.225,150.74,36.999,11.533
102.3333,"","","",459.747,445.96,132.881,150.514,36.997,11.57
102.3667,"","","",459.462,445.72,132.491,150.354,37.001,11.513
102.4000,"","","",459.29,445.431,131.81,150.313,37.001,11.506
102.4333,"","","",458.928,445.103,131.29,150.361,37.001,11.502
102.4667,"","","",458.594,444.81,130.867,150.436,37,11.516
