2026-01-15_P1_02_A_VECTOR_100UMH2O2_4HRS_B_ATF3_100UMH2O2_4HRS_NONAPYR_.dld8																			
dbaum	P1	1B	O2 calibration	POS #	A0056-O2	Marks from	Median	Unit	base	pyr+mal	adp1	adp2	adp3	adpmax	cytoc	succ	rot	antia	
Protocol			Temp	37	°C		State												
Sample type			Air saturation	189.29408268450055	µM		Concentration		0	0	0	0	0	0	0	0	0	0	
Cohort			R1	2.17603	V		Volume		0	0	0	0	0	0	0	0	0	0	
Sample code			R0	0.0109	V		Start		01:23:50	01:29:48	01:42:05	01:48:07	01:54:32	02:04:12	02:09:51	02:16:53	02:22:32	02:27:17	
Sample number	0		pb	99.3	kPa		Stop		01:26:24	01:31:43	01:44:13	01:50:26	01:56:39	02:06:33	02:11:39	02:19:24	02:25:07	02:29:04	
Subsample number	0		FM	0.92			N Points		78	58	64	70	64	71	54	76	78	54	
Sample concentration	0	/mL	Medium				1B: O2 concentration	µM	191.31018404871637	185.5980425642827	171.3777959515463	164.6042723959253	156.36238707048625	137.06429278933462	126.08108663670619	107.53400322800096	93.07507679200741	88.7110828806964	
Sample amount	0		O2 background a°	-5.339417357426796	pmol/(s*mL)		1B: O2 slope neg.	pmol·s-1·mL-1	19.386020621831037	22.484381098864887	17.097973133610196	18.951010490995458	25.90077712168309	37.2148132357113	36.488381583872936	52.34509136432808	38.41025043679099	-1.158673760064219	
Chamber volume	2	mL	O2 background b°	0.03265165701108682															
